start,end,agg_cost
5110,5104,6.0
5110,5105,0.0
5110,5106,11.0
5110,5107,12.0
5110,5108,9.0
5110,5109,3.0
5110,5111,0.0
5110,5112,2.0
5110,5113,16.0
5110,5114,9.0
5110,5115,9.0
5110,5116,4.0
5110,5117,0.0
5110,5118,0.0
5110,5201,19.0
5110,5202,18.0
5110,5203,17.0
5110,5204,14.0
5110,5205,10.0
5110,5206,13.0
5110,5207,16.0
5110,5208,10.0
5110,5210,15.0
5110,5211,19.0
5110,5301,5.0
5110,5302,7.0
5110,5303,7.0
5110,5304,12.0
5110,5305,13.0
5110,5717,25.0
5111,5101,0.0
5111,5102,4.0
5111,5103,0.0
5111,5104,6.0
5111,5105,0.0
5111,5106,11.0
5111,5107,1.0
5111,5108,8.0
5111,5109,4.0
5111,5110,0.0
5111,5112,0.0
5111,5113,0.0
5111,5114,9.0
5111,5115,9.0
5111,5116,0.0
5111,5117,0.0
5111,5118,0.0
5111,5201,18.0
5111,5202,25.0
5111,5203,17.0
5111,5204,14.0
5111,5205,10.0
5111,5206,11.0
5111,5207,5.0
5111,5208,10.0
5111,5210,4.0
5111,5211,8.0
5111,5301,6.0
5111,5302,8.0
5111,5303,8.0
5111,5304,13.0
5111,5305,14.0
5111,5717,25.0
5112,5101,3.0
5112,5102,13.0
5112,5103,3.0
5112,5104,3.0
5112,5105,0.0
5112,5106,6.0
5112,5107,10.0
5112,5108,15.0
5112,5109,16.0
5112,5110,3.0
5112,5111,0.0
5112,5113,3.0
5112,5114,12.0
5112,5115,6.0
5112,5116,6.0
5112,5117,6.0
5112,5118,3.0
5112,5201,13.0
5112,5202,16.0
5112,5203,26.0
5112,5204,23.0
5112,5205,19.0
5112,5206,11.0
5112,5207,14.0
5112,5208,19.0
5112,5210,13.0
5112,5211,17.0
5112,5301,18.0
5112,5302,20.0
5112,5303,22.0
5112,5304,18.0
5112,5305,19.0
5112,5717,34.0
5113,5101,10.0
5113,5102,17.0
5113,5103,10.0
5113,5104,0.0
5113,5105,0.0
5113,5106,15.0
5113,5107,14.0
5113,5108,27.0
5113,5109,26.0
5113,5110,10.0
5113,5111,2.0
5113,5112,0.0
5113,5114,22.0
5113,5115,12.0
5113,5116,10.0
5113,5117,10.0
5113,5118,10.0
5113,5201,23.0
5113,5202,20.0
5113,5203,30.0
5113,5204,27.0
5113,5205,23.0
5113,5206,15.0
5113,5207,18.0
5113,5208,23.0
5113,5210,19.0
5113,5211,21.0
5113,5301,28.0
5113,5302,30.0
5113,5303,34.0
5113,5304,20.0
5113,5305,21.0
5113,5717,38.0
5114,5101,5.0
5114,5102,0.0
5114,5103,5.0
5114,5104,3.0
5114,5105,0.0
5114,5106,0.0
5114,5107,0.0
5114,5108,20.0
5114,5109,13.0
5114,5110,11.0
5114,5111,10.0
5114,5112,5.0
5114,5113,13.0
5114,5115,0.0
5114,5116,9.0
5114,5117,13.0
5114,5118,9.0
5114,5201,0.0
5114,5202,7.0
5114,5203,33.0
5114,5204,30.0
5114,5205,0.0
5114,5206,5.0
5114,5207,5.0
5114,5208,26.0
5114,5210,4.0
5114,5211,8.0
5114,5301,14.0
5114,5302,16.0
5114,5303,18.0
5114,5304,23.0
5114,5305,24.0
5114,5717,41.0
5115,5101,5.0
5115,5102,10.0
5115,5103,5.0
5115,5104,3.0
5115,5105,0.0
